2023-11-12 23:09:44.505 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-11-12 23:09:44.505 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-11-12 23:09:44.505 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-11-12 23:09:44.505 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.11]
2023-11-12 23:09:44.519 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-11-12 23:09:44.519 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 263 ms
2023-11-12 23:09:45.106 [restartedMain] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2023-11-12 23:09:45.118 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@431570f4, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@79280d78, org.springframework.security.web.context.SecurityContextHolderFilter@4cdf769f, org.springframework.security.web.header.HeaderWriterFilter@50f1c4bf, org.springframework.security.web.authentication.logout.LogoutFilter@217121c, com.hp.blogserver.security.filter.JwtAuthenticationTokenFilter@7c36fd7b, com.hp.blogserver.security.filter.LoginAuthenticationFilter@1e788c99, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7f66f01c, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6bc1145f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7602dd72, org.springframework.security.web.access.ExceptionTranslationFilter@33b4e0f7, org.springframework.security.web.access.intercept.AuthorizationFilter@29b962b6]
2023-11-12 23:09:45.205 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-11-12 23:09:45.217 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-11-12 23:09:45.219 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-11-12 23:09:45.225 [restartedMain] INFO  com.hp.blogserver.BlogServerApplication - Started BlogServerApplication in 0.995 seconds (process running for 61.616)
2023-11-12 23:09:45.228 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2023-11-12 23:10:20.402 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2023-11-12 23:10:20.427 [restartedMain] INFO  com.hp.blogserver.BlogServerApplication - Starting BlogServerApplication using Java 17.0.9 with PID 24568 (C:\Users\20126\Desktop\blog\blog-server\target\classes started by 20126 in C:\Users\20126\Desktop\blog\blog-server)
2023-11-12 23:10:20.428 [restartedMain] INFO  com.hp.blogserver.BlogServerApplication - The following 1 profile is active: "dev"
2023-11-12 23:10:20.456 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in C:\Users\20126\.m2\repository\xalan\xalan\2.7.2\xalan-2.7.2.jar referenced one or more files that do not exist: file:/C:/Users/20126/.m2/repository/xalan/xalan/2.7.2/xercesImpl.jar,file:/C:/Users/20126/.m2/repository/xalan/xalan/2.7.2/xml-apis.jar,file:/C:/Users/20126/.m2/repository/xalan/xalan/2.7.2/serializer.jar
2023-11-12 23:10:20.456 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in C:\Users\20126\.m2\repository\xalan\serializer\2.7.2\serializer-2.7.2.jar referenced one or more files that do not exist: file:/C:/Users/20126/.m2/repository/xalan/serializer/2.7.2/xml-apis.jar
2023-11-12 23:10:20.456 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-12 23:10:20.456 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-12 23:10:21.554 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-11-12 23:10:21.561 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-11-12 23:10:21.564 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-11-12 23:10:21.565 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.11]
2023-11-12 23:10:21.613 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
