2023-11-12 20:15:12.093 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.hp.blogserver.BlogServerApplication for test class com.hp.blogserver.mapper.MenuMapperTest
2023-11-12 20:15:12.333 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.hp.blogserver.mapper.PermMapperTest]: PermMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-11-12 20:15:12.336 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.hp.blogserver.BlogServerApplication for test class com.hp.blogserver.mapper.PermMapperTest
2023-11-12 20:15:12.396 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.hp.blogserver.mapper.RoleMapperTest]: RoleMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-11-12 20:15:12.398 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.hp.blogserver.BlogServerApplication for test class com.hp.blogserver.mapper.RoleMapperTest
2023-11-12 20:15:12.427 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.hp.blogserver.mapper.UserMapperTest]: UserMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-11-12 20:15:12.429 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.hp.blogserver.BlogServerApplication for test class com.hp.blogserver.mapper.UserMapperTest
2023-11-12 20:15:12.625 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.hp.blogserver.service.MenuServiceTest]: MenuServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-11-12 20:15:12.633 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.hp.blogserver.BlogServerApplication for test class com.hp.blogserver.service.MenuServiceTest
2023-11-12 20:15:17.187 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.hp.blogserver.service.PermServiceTest]: PermServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-11-12 20:15:17.189 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.hp.blogserver.BlogServerApplication for test class com.hp.blogserver.service.PermServiceTest
2023-11-12 20:15:17.233 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-11-12 20:15:17.356 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-11-12 20:16:25.560 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2023-11-12 20:16:25.581 [main] INFO  com.hp.blogserver.BlogServerApplicationTests - Starting BlogServerApplicationTests using Java 17.0.9 with PID 26556 (started by 20126 in C:\Users\20126\Desktop\blog\blog-server)
2023-11-12 20:16:25.583 [main] INFO  com.hp.blogserver.BlogServerApplicationTests - The following 1 profile is active: "prod"
2023-11-12 20:16:29.170 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@74e2cfc5, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4a5d5b38, org.springframework.security.web.context.SecurityContextHolderFilter@df432ec, org.springframework.security.web.header.HeaderWriterFilter@58068b40, org.springframework.security.web.authentication.logout.LogoutFilter@1f521c69, com.hp.blogserver.security.filter.JwtAuthenticationTokenFilter@7a47f0be, com.hp.blogserver.security.filter.LoginAuthenticationFilter@2d8087da, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@26f204a4, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@74a1d60e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4f7ef948, org.springframework.security.web.access.ExceptionTranslationFilter@5790cbcb, org.springframework.security.web.access.intercept.AuthorizationFilter@552cb0d5]
2023-11-12 20:16:31.445 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2023-11-12 20:16:31.555 [main] INFO  com.hp.blogserver.BlogServerApplicationTests - Started BlogServerApplicationTests in 6.292 seconds (process running for 7.056)
2023-11-12 20:16:32.418 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.hp.blogserver.mapper.DeptMapperTest]: DeptMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-11-12 20:16:32.428 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.hp.blogserver.BlogServerApplication for test class com.hp.blogserver.mapper.DeptMapperTest
2023-11-12 20:16:32.476 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-11-12 20:16:32.831 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@4bf6bc2d
2023-11-12 20:16:32.835 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-11-12 20:16:32.898 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.hp.blogserver.mapper.MenuMapperTest]: MenuMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-11-12 20:16:32.900 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.hp.blogserver.BlogServerApplication for test class com.hp.blogserver.mapper.MenuMapperTest
2023-11-12 20:16:33.130 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.hp.blogserver.mapper.PermMapperTest]: PermMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
